observation_date,FEDFUNDS
1990-01-01,8.25
1990-04-01,8.24
1990-07-01,8.16
1990-10-01,7.74
1991-01-01,6.43
1991-04-01,5.86
1991-07-01,5.64
1991-10-01,4.82
1992-01-01,4.02
1992-04-01,3.77
1992-07-01,3.26
1992-10-01,3.04
1993-01-01,3.04
1993-04-01,3.00
1993-07-01,3.06
1993-10-01,2.99
1994-01-01,3.21
1994-04-01,3.94
1994-07-01,4.49
1994-10-01,5.17
1995-01-01,5.81
1995-04-01,6.02
1995-07-01,5.80
1995-10-01,5.72
1996-01-01,5.36
1996-04-01,5.24
1996-07-01,5.31
1996-10-01,5.28
1997-01-01,5.28
1997-04-01,5.52
1997-07-01,5.53
1997-10-01,5.51
1998-01-01,5.52
1998-04-01,5.50
1998-07-01,5.53
1998-10-01,4.86
1999-01-01,4.73
1999-04-01,4.75
1999-07-01,5.09
1999-10-01,5.31
2000-01-01,5.68
2000-04-01,6.27
2000-07-01,6.52
2000-10-01,6.47
2001-01-01,5.59
2001-04-01,4.33
2001-07-01,3.50
2001-10-01,2.13
2002-01-01,1.73
2002-04-01,1.75
2002-07-01,1.74
2002-10-01,1.44
2003-01-01,1.25
2003-04-01,1.25
2003-07-01,1.02
2003-10-01,1.00
2004-01-01,1.00
2004-04-01,1.01
2004-07-01,1.43
2004-10-01,1.95
2005-01-01,2.47
2005-04-01,2.94
2005-07-01,3.46
2005-10-01,3.98
2006-01-01,4.46
2006-04-01,4.91
2006-07-01,5.25
2006-10-01,5.25
2007-01-01,5.26
2007-04-01,5.25
2007-07-01,5.07
2007-10-01,4.50
2008-01-01,3.18
2008-04-01,2.09
2008-07-01,1.94
2008-10-01,0.51
2009-01-01,0.18
2009-04-01,0.18
2009-07-01,0.16
2009-10-01,0.12
2010-01-01,0.13
2010-04-01,0.19
2010-07-01,0.19
2010-10-01,0.19
2011-01-01,0.16
2011-04-01,0.09
2011-07-01,0.08
2011-10-01,0.07
2012-01-01,0.10
2012-04-01,0.15
2012-07-01,0.14
2012-10-01,0.16
2013-01-01,0.14
2013-04-01,0.12
2013-07-01,0.08
2013-10-01,0.09
2014-01-01,0.07
2014-04-01,0.09
2014-07-01,0.09
2014-10-01,0.10
2015-01-01,0.11
2015-04-01,0.12
2015-07-01,0.14
2015-10-01,0.16
2016-01-01,0.36
2016-04-01,0.37
2016-07-01,0.40
2016-10-01,0.45
2017-01-01,0.70
2017-04-01,0.95
2017-07-01,1.15
2017-10-01,1.20
2018-01-01,1.45
2018-04-01,1.74
2018-07-01,1.92
2018-10-01,2.22
2019-01-01,2.40
2019-04-01,2.40
2019-07-01,2.19
2019-10-01,1.64
2020-01-01,1.26
