observation_date,GS10
1990-01-01,8.42
1990-04-01,8.68
1990-07-01,8.70
1990-10-01,8.40
1991-01-01,8.02
1991-04-01,8.13
1991-07-01,7.94
1991-10-01,7.35
1992-01-01,7.30
1992-04-01,7.38
1992-07-01,6.62
1992-10-01,6.74
1993-01-01,6.28
1993-04-01,5.99
1993-07-01,5.62
1993-10-01,5.61
1994-01-01,6.07
1994-04-01,7.08
1994-07-01,7.33
1994-10-01,7.84
1995-01-01,7.48
1995-04-01,6.62
1995-07-01,6.32
1995-10-01,5.89
1996-01-01,5.91
1996-04-01,6.72
1996-07-01,6.78
1996-10-01,6.34
1997-01-01,6.56
1997-04-01,6.70
1997-07-01,6.24
1997-10-01,5.91
1998-01-01,5.59
1998-04-01,5.60
1998-07-01,5.20
1998-10-01,4.67
1999-01-01,4.98
1999-04-01,5.54
1999-07-01,5.88
1999-10-01,6.14
2000-01-01,6.48
2000-04-01,6.18
2000-07-01,5.89
2000-10-01,5.57
2001-01-01,5.05
2001-04-01,5.27
2001-07-01,4.98
2001-10-01,4.77
2002-01-01,5.08
2002-04-01,5.10
2002-07-01,4.26
2002-10-01,4.01
2003-01-01,3.92
2003-04-01,3.62
2003-07-01,4.23
2003-10-01,4.29
2004-01-01,4.02
2004-04-01,4.60
2004-07-01,4.30
2004-10-01,4.17
2005-01-01,4.30
2005-04-01,4.16
2005-07-01,4.21
2005-10-01,4.49
2006-01-01,4.57
2006-04-01,5.07
2006-07-01,4.90
2006-10-01,4.63
2007-01-01,4.68
2007-04-01,4.85
2007-07-01,4.73
2007-10-01,4.26
2008-01-01,3.66
2008-04-01,3.89
2008-07-01,3.86
2008-10-01,3.25
2009-01-01,2.74
2009-04-01,3.31
2009-07-01,3.52
2009-10-01,3.46
2010-01-01,3.72
2010-04-01,3.49
2010-07-01,2.79
2010-10-01,2.86
2011-01-01,3.46
2011-04-01,3.21
2011-07-01,2.43
2011-10-01,2.05
2012-01-01,2.04
2012-04-01,1.82
2012-07-01,1.64
2012-10-01,1.71
2013-01-01,1.95
2013-04-01,2.00
2013-07-01,2.71
2013-10-01,2.75
2014-01-01,2.76
2014-04-01,2.62
2014-07-01,2.50
2014-10-01,2.28
2015-01-01,1.97
2015-04-01,2.17
2015-07-01,2.22
2015-10-01,2.19
2016-01-01,1.92
2016-04-01,1.75
2016-07-01,1.56
2016-10-01,2.13
2017-01-01,2.44
2017-04-01,2.26
2017-07-01,2.24
2017-10-01,2.37
2018-01-01,2.76
2018-04-01,2.92
2018-07-01,2.93
2018-10-01,3.03
2019-01-01,2.65
2019-04-01,2.33
2019-07-01,1.80
2019-10-01,1.79
2020-01-01,1.38
