observation_date,VIXCLS
1990-01-01,22.17
1990-04-01,18.72
1990-07-01,25.20
1990-10-01,26.11
1991-01-01,22.52
1991-04-01,17.15
1991-07-01,16.63
1991-10-01,17.46
1992-01-01,17.56
1992-04-01,15.62
1992-07-01,13.90
1992-10-01,14.76
1993-01-01,13.26
1993-04-01,12.97
1993-07-01,12.12
1993-10-01,12.42
1994-01-01,13.44
1994-04-01,14.51
1994-07-01,12.52
1994-10-01,15.27
1995-01-01,11.99
1995-04-01,12.19
1995-07-01,12.47
1995-10-01,12.90
1996-01-01,15.40
1996-04-01,16.37
1996-07-01,16.78
1996-10-01,17.21
1997-01-01,19.92
1997-04-01,19.92
1997-07-01,22.45
1997-10-01,27.09
1998-01-01,21.32
1998-04-01,21.53
1998-07-01,29.75
1998-10-01,29.54
1999-01-01,27.25
1999-04-01,24.40
1999-07-01,23.32
1999-10-01,22.66
2000-01-01,23.15
2000-04-01,24.92
2000-07-01,19.17
2000-10-01,26.02
2001-01-01,25.73
2001-04-01,23.92
2001-07-01,25.38
2001-10-01,27.91
2002-01-01,21.36
2002-04-01,21.64
2002-07-01,35.07
2002-10-01,30.73
2003-01-01,30.02
2003-04-01,21.53
2003-07-01,19.32
2003-10-01,17.43
2004-01-01,16.66
2004-04-01,16.21
2004-07-01,15.44
2004-10-01,13.65
2005-01-01,12.79
2005-04-01,13.41
2005-07-01,12.25
2005-10-01,12.78
2006-01-01,12.04
2006-04-01,14.53
2006-07-01,13.61
2006-10-01,11.03
2007-01-01,12.56
2007-04-01,13.73
2007-07-01,21.59
2007-10-01,22.03
2008-01-01,26.12
2008-04-01,20.67
2008-07-01,25.07
2008-10-01,58.60
2009-01-01,45.00
2009-04-01,33.02
2009-07-01,25.49
2009-10-01,23.07
2010-01-01,20.15
2010-04-01,26.39
2010-07-01,24.28
2010-10-01,19.32
2011-01-01,18.61
2011-04-01,17.48
2011-07-01,30.58
2011-10-01,29.94
2012-01-01,18.20
2012-04-01,20.04
2012-07-01,16.19
2012-10-01,16.75
2013-01-01,13.53
2013-04-01,14.84
2013-07-01,14.28
2013-10-01,14.23
2014-01-01,14.83
2014-04-01,12.74
2014-07-01,13.07
2014-10-01,16.07
2015-01-01,16.56
2015-04-01,13.74
2015-07-01,19.31
2015-10-01,17.03
2016-01-01,20.49
2016-04-01,15.68
2016-07-01,13.23
2016-10-01,14.10
2017-01-01,11.69
2017-04-01,11.43
2017-07-01,10.94
2017-10-01,10.31
2018-01-01,17.35
2018-04-01,15.34
2018-07-01,12.86
2018-10-01,21.05
2019-01-01,16.47
2019-04-01,15.18
2019-07-01,15.96
2019-10-01,13.99
2020-01-01,31.22
